,Porto,Lisboa,Coimbra,Braga,Santarem,Viana do Castelo,Leiria,Aveiro,Castelo Branco,Setubal
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,0,0,0
13,1,1,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0
16,1,1,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0
18,1,1,0,0,0,0,0,0,0,0
19,1,1,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0,0,0
21,1,1,0,0,0,0,0,0,0,0
22,1,1,0,0,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0,0,0
24,1,1,0,0,0,0,0,0,0,0
25,1,1,0,0,0,0,0,0,0,0
26,1,1,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,0
29,1,1,0,0,0,0,0,0,0,0
30,1,1,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0,0,0
32,1,1,0,0,0,0,0,0,0,0
33,1,1,0,0,0,0,0,0,0,0
34,1,1,0,0,0,0,0,0,0,0
35,1,1,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,0,0,0,0
37,1,1,0,0,0,0,0,0,0,0
38,1,1,0,0,0,0,0,0,0,0
39,1,1,0,0,0,0,0,0,0,0
40,1,1,0,0,0,0,0,0,0,0
41,1,1,0,0,0,0,0,0,0,0
42,1,1,0,0,0,0,0,0,0,0
43,1,1,0,0,0,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0
45,1,1,0,0,0,0,0,0,0,0
46,1,1,0,0,0,0,0,0,0,0
47,1,1,0,0,0,0,0,0,0,0
48,1,1,0,0,0,0,0,0,0,0
49,1,1,0,0,0,0,0,0,0,0
50,1,1,0,0,0,0,0,0,0,0
51,1,1,0,0,0,0,0,0,0,0
52,1,1,0,0,0,0,0,0,0,0
53,1,1,0,0,0,0,0,0,0,0
54,1,1,0,0,0,0,0,0,0,0
55,1,1,0,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,0,0
57,1,1,0,0,0,0,0,0,0,0
58,1,1,0,0,0,0,0,0,0,0
59,1,1,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0
61,1,1,0,0,0,0,0,0,0,0
62,1,1,0,0,0,0,0,0,0,0
63,1,1,0,0,0,0,0,0,0,0
64,1,1,0,0,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0,0,0
66,1,1,0,0,0,0,0,0,0,0
67,1,1,0,0,0,0,0,0,0,0
68,0,1,0,0,1,0,0,0,0,0
69,0,1,0,0,1,0,0,0,0,0
70,0,1,0,0,1,0,0,0,0,0
71,0,1,0,0,1,0,0,0,0,0
72,0,1,0,0,1,0,0,0,0,0
73,0,1,0,0,1,0,0,0,0,0
74,0,1,0,0,1,0,0,0,0,0
75,0,1,0,0,1,0,0,0,0,0
76,0,1,0,0,1,0,0,0,0,0
77,0,1,0,0,1,0,0,0,0,0
78,0,1,0,0,1,0,0,0,0,0
79,0,1,0,0,1,0,0,0,0,0
80,0,1,0,0,1,0,0,0,0,0
81,0,1,0,0,1,0,0,0,0,0
82,0,1,0,0,1,0,0,0,0,0
83,0,1,0,0,1,0,0,0,0,0
84,0,1,0,0,1,0,0,0,0,0
85,0,1,0,0,1,0,0,0,0,0
86,0,1,0,0,1,0,0,0,0,0
87,0,1,0,0,1,0,0,0,0,0
88,0,1,0,0,1,0,0,0,0,0
89,0,1,0,0,1,0,0,0,0,0
90,0,1,0,0,1,0,0,0,0,0
91,0,1,0,0,1,0,0,0,0,0
92,0,1,0,0,1,0,0,0,0,0
93,0,1,0,0,1,0,0,0,0,0
94,0,1,0,0,1,0,0,0,0,0
95,0,1,0,0,1,0,0,0,0,0
96,0,1,0,0,1,0,0,0,0,0
97,0,1,0,0,1,0,0,0,0,0
98,0,1,0,0,1,0,0,0,0,0
99,0,1,0,0,1,0,0,0,0,0
100,0,1,0,0,1,0,0,0,0,0
101,0,1,0,0,1,0,0,0,0,0
102,0,1,0,0,1,0,0,0,0,0
103,0,1,0,0,1,0,0,0,0,0
104,0,1,0,0,1,0,0,0,0,0
105,0,1,0,0,1,0,0,0,0,0
106,0,1,0,0,1,0,0,0,0,0
107,0,1,0,0,1,0,0,0,0,0
108,0,1,0,0,1,0,0,0,0,0
109,0,1,0,0,1,0,0,0,0,0
110,0,1,0,0,1,0,0,0,0,0
111,0,1,0,0,1,0,0,0,0,0
112,0,1,0,0,1,0,0,0,0,0
113,0,1,0,0,1,0,0,0,0,0
114,0,1,0,0,1,0,0,0,0,0
115,0,1,0,0,1,0,0,0,0,0
116,0,1,0,0,1,0,0,0,0,0
117,0,1,0,0,1,0,0,0,0,0
118,0,1,0,0,1,0,0,0,0,0
119,0,1,0,0,1,0,0,0,0,0
120,0,1,0,0,1,0,0,0,0,0
121,0,1,0,0,1,0,0,0,0,0
122,0,1,0,0,1,0,0,0,0,0
123,0,1,0,0,1,0,0,0,0,0
124,0,1,0,0,1,0,0,0,0,0
125,0,1,0,0,1,0,0,0,0,0
126,0,1,0,0,1,0,0,0,0,0
127,0,1,0,0,1,0,0,0,0,0
128,0,1,0,0,1,0,0,0,0,0
129,0,1,0,0,1,0,0,0,0,0
130,0,1,0,0,1,0,0,0,0,0
131,0,1,0,0,1,0,0,0,0,0
132,0,1,0,0,1,0,0,0,0,0
133,0,1,0,0,1,0,0,0,0,0
134,0,1,0,0,1,0,0,0,0,0
135,0,1,0,0,1,0,0,0,0,0
136,0,1,0,0,1,0,0,0,0,0
137,0,1,0,0,1,0,0,0,0,0
